"FileName","ChangeFreq"
"src.main.java.org.apache.pdfbox.util.PDFTextStripper_java","14"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.parser.XMPDocumentBuilder_java","14"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode_java","14"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDLab_java","14"
"pdfbox.src.main.java.org.apache.pdfbox.multipdf.LayerUtility_java","14"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.descriptor.TrueTypeDescriptorHelper_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSNumber_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDTerminalField_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.encoding.Encoding_java","13"
"tools.src.main.java.org.apache.pdfbox.tools.PDFBox_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSeedValue_java","13"
"src.main.java.org.apache.pdfbox.cos.COSName_java","13"
"xmpbox.src.main.java.org.apache.xmpbox.type.TypeMapping_java","13"
"src.main.java.org.apache.pdfbox.cos.COSDocument_java","13"
"fontbox.src.main.java.org.apache.fontbox.ttf.CMAPEncodingEntry_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.rendering.PDFPrinter_java","13"
"preflight.src.main.java.org.apache.pdfbox.preflight.graphic.ICCProfileWrapper_java","13"
"tools.src.main.java.org.apache.pdfbox.tools.gui.PDFPagePanel_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.PDRectangle_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.io.RandomAccessFile_java","13"
"pdfbox.src.test.java.org.apache.pdfbox.encryption.TestPublicKeyEncryption_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDFontDescriptor_java","13"
"src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDSeparation_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.multipdf.Overlay_java","13"
"tools.src.main.java.org.apache.pdfbox.tools.pdfdebugger.pagepane.PagePane_java","13"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.function.PDFunctionType2_java","13"
"fontbox.src.main.java.org.apache.fontbox.encoding.Encoding_java","13"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.DescendantFontValidator_java","13"
