"FileName","ChangeChurn"
"pdfbox.src.main.java.org.apache.pdfbox.util.Overlay_java","1047"
"preflight.src.main.java.org.apache.padaf.preflight.helpers.TrailerValidationHelper_java","1046"
"preflight.src.main.java.org.apache.pdfbox.preflight.content.ContentStreamWrapper_java","1045"
"fontbox.src.main.java.org.apache.fontbox.cff.Type2CharStringParser_java","1044"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureNode_java","1033"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN_java","1032"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation_java","1030"
"licenses.checkstyle.LICENSE","1028"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.Type4ShadingContext_java","1022"
"xmpbox.src.test.java.org.apache.padaf.xmpbox.parser.DeserializationTest_java","1014"
"tools.src.main.java.org.apache.pdfbox.tools.pdfdebugger.streampane.StreamPane_java","1013"
"src.main.java.org.apache.pdfbox.pdfviewer.PageDrawer_java","1012"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure_java","1012"
"src.org.pdfbox.filter.CCITTFaxDecodeFilter_java","1012"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage_java","1011"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSigBuilder_java","1009"
"jempbox.licenses.checkstyle.LICENSE","1008"
"fontbox.licenses.checkstyle.LICENSE","1008"
"preflight.src.main.java.org.apache.pdfbox.preflight.ValidationResult_java","1007"
"src.org.pdfbox.pdmodel.font.PDFont_java","1001"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.StandardStructureTypes_java","1000"
"Resources.cmap.HKdlb-B5-H","998"
"src.main.resources.Resources.cmap.HKdlb-B5-H","998"
"fontbox.src.main.java.org.apache.fontbox.cff.CharStringCommand_java","983"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDType3CharProc_java","981"
"src.org.pdfbox.pdmodel.PDPage_java","981"
"xmpbox.pom_xml","980"
"jempbox.website.src.documentation.skinconf_xml","978"
"preflight.src.main.java.org.apache.padaf.preflight.graphics.color.StandardColorSpaceHelper_java","976"
"src.org.pdfbox.pdmodel.graphics.xobject.PDCcitt_java","972"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.Type0FontValidator_java","971"
"pdfbox.src.main.java.org.apache.pdfbox.encryption.PDFEncryption_java","971"
"pdfbox.src.main.java.org.apache.pdfbox.io.ScratchFile_java","969"
"src.main.java.org.pdfbox.pdmodel.PDDocument_java","969"
"src.main.java.org.pdfbox.util.PDFTextStripper_java","969"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader_java","967"
