"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.descriptor.TrueTypeDescriptorHelper_java","0","0","0","13","280","1","5","false","5","0","2","10","false"
"pdfbox.src.main.java.org.apache.pdfbox.text.LegacyPDFStreamEngine_java","0","0","0","2","34","0","0","false","0","0","2","0","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.common.TestEmbeddedFiles_java","0","0","0","7","169","0","1","false","2","0","1","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.form.PDFormXObject_java","1","2","20","21","351","1","9","true","6","3","4","15","true"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.interactive.form.TestCheckBox_java","0","0","0","8","145","0","2","false","1","0","5","2","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.interactive.form.HandleDifferentDALevelsTest_java","1","2","129","2","129","0","0","false","0","0","3","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem_java","0","0","0","24","497","1","5","false","10","1","4","13","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.PropertyType_java","0","0","0","4","35","0","9","false","2","1","0","15","true"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.filespecification.PDSimpleFileSpecification_java","0","0","0","3","6","0","0","false","2","0","1","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.util.DateConverter_java","2","2","14","16","1800","0","1","false","5","1","0","6","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.graphics.color.PDDeviceCMYKTest_java","0","0","0","2","43","0","0","false","0","0","0","0","false"
"tools.src.test.java.org.apache.pdfbox.tools.TestPDFText2HTML_java","0","0","0","9","45","0","0","false","3","0","1","0","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFCIDFont_java","0","0","0","11","261","1","1","false","6","1","1","4","false"
"examples.src.main.java.org.apache.pdfbox.examples.pdmodel.PrintURLs_java","1","3","64","14","255","0","1","false","5","0","1","1","false"
